pixel_x,pixel_y,pixel_value,db_value,surface_type
0,0,165,-8.823529411764707,clean_glacier_ice
0,1,163,-9.019607843137257,clean_glacier_ice
0,2,156,-9.705882352941176,clean_glacier_ice
0,3,133,-11.960784313725489,regular_glacier_ice
0,4,109,-14.313725490196079,regular_glacier_ice
0,5,191,-6.274509803921568,debris_rock
0,6,224,-3.0392156862745097,debris_rock
0,7,198,-5.588235294117645,debris_rock
0,8,180,-7.352941176470587,mixed_snow_ice
0,9,168,-8.529411764705884,mixed_snow_ice
0,10,129,-12.352941176470589,regular_glacier_ice
0,11,127,-12.549019607843137,regular_glacier_ice
0,12,129,-12.352941176470589,regular_glacier_ice
0,13,130,-12.254901960784315,regular_glacier_ice
0,14,190,-6.372549019607842,debris_rock
0,15,199,-5.490196078431371,debris_rock
0,16,196,-5.784313725490193,debris_rock
0,17,208,-4.607843137254903,debris_rock
0,18,210,-4.411764705882355,debris_rock
0,19,224,-3.0392156862745097,debris_rock
0,20,175,-7.843137254901961,mixed_snow_ice
0,21,198,-5.588235294117645,debris_rock
0,22,197,-5.686274509803919,debris_rock
0,23,170,-8.333333333333336,mixed_snow_ice
0,24,175,-7.843137254901961,mixed_snow_ice
0,25,223,-3.137254901960784,debris_rock
0,26,255,0.0,debris_rock
0,27,195,-5.882352941176471,debris_rock
0,28,152,-10.098039215686274,clean_glacier_ice
0,29,125,-12.745098039215687,regular_glacier_ice
0,30,108,-14.411764705882353,regular_glacier_ice
0,31,145,-10.784313725490197,clean_glacier_ice
0,32,171,-8.235294117647062,mixed_snow_ice
0,33,182,-7.156862745098039,mixed_snow_ice
0,34,219,-3.529411764705884,debris_rock
0,35,181,-7.254901960784313,mixed_snow_ice
0,36,213,-4.117647058823529,debris_rock
0,37,227,-2.745098039215687,debris_rock
0,38,255,0.0,debris_rock
0,39,255,0.0,debris_rock
0,40,213,-4.117647058823529,debris_rock
0,41,179,-7.450980392156865,mixed_snow_ice
0,42,169,-8.43137254901961,mixed_snow_ice
0,43,152,-10.098039215686274,clean_glacier_ice
0,44,153,-10.0,clean_glacier_ice
0,45,156,-9.705882352941176,clean_glacier_ice
0,46,234,-2.0588235294117645,debris_rock
0,47,190,-6.372549019607842,debris_rock
0,48,204,-5.0,debris_rock
0,49,222,-3.235294117647058,debris_rock
0,50,172,-8.137254901960784,mixed_snow_ice
0,51,205,-4.901960784313726,debris_rock
0,52,193,-6.078431372549019,debris_rock
0,53,198,-5.588235294117645,debris_rock
0,54,175,-7.843137254901961,mixed_snow_ice
0,55,144,-10.882352941176471,clean_glacier_ice
0,56,167,-8.627450980392158,mixed_snow_ice
0,57,176,-7.745098039215687,mixed_snow_ice
0,58,174,-7.9411764705882355,mixed_snow_ice
0,59,167,-8.627450980392158,mixed_snow_ice
0,60,177,-7.647058823529413,mixed_snow_ice
0,61,113,-13.92156862745098,regular_glacier_ice
0,62,107,-14.509803921568627,regular_glacier_ice
0,71,137,-11.568627450980392,clean_glacier_ice
0,72,105,-14.705882352941178,deep_glacier_ice
0,73,110,-14.215686274509803,regular_glacier_ice
0,74,165,-8.823529411764707,clean_glacier_ice
0,75,174,-7.9411764705882355,mixed_snow_ice
0,76,189,-6.470588235294116,debris_rock
0,77,222,-3.235294117647058,debris_rock
0,78,207,-4.7058823529411775,debris_rock
0,79,182,-7.156862745098039,mixed_snow_ice
0,80,190,-6.372549019607842,debris_rock
0,82,202,-5.196078431372548,debris_rock
0,83,74,-17.745098039215684,deep_glacier_ice
0,86,244,-1.0784313725490193,debris_rock
0,87,207,-4.7058823529411775,debris_rock
0,95,154,-9.901960784313726,clean_glacier_ice
0,98,230,-2.450980392156861,debris_rock
0,99,180,-7.352941176470587,mixed_snow_ice
0,100,160,-9.313725490196079,clean_glacier_ice
0,101,193,-6.078431372549019,debris_rock
0,102,227,-2.745098039215687,debris_rock
0,103,209,-4.509803921568629,debris_rock
0,104,164,-8.92156862745098,clean_glacier_ice
0,105,201,-5.2941176470588225,debris_rock
0,106,153,-10.0,clean_glacier_ice
0,107,144,-10.882352941176471,clean_glacier_ice
0,108,239,-1.5686274509803937,debris_rock
0,109,255,0.0,debris_rock
0,110,246,-0.882352941176471,debris_rock
0,111,231,-2.352941176470587,debris_rock
0,112,168,-8.529411764705884,mixed_snow_ice
0,113,151,-10.196078431372548,clean_glacier_ice
0,114,146,-10.686274509803923,clean_glacier_ice
0,115,142,-11.07843137254902,clean_glacier_ice
0,116,154,-9.901960784313726,clean_glacier_ice
0,117,104,-14.803921568627452,deep_glacier_ice
0,118,146,-10.686274509803923,clean_glacier_ice
0,119,147,-10.588235294117649,clean_glacier_ice
0,120,221,-3.333333333333332,debris_rock
0,121,236,-1.8627450980392162,debris_rock
0,122,198,-5.588235294117645,debris_rock
0,123,207,-4.7058823529411775,debris_rock
0,124,193,-6.078431372549019,debris_rock
0,125,212,-4.215686274509803,debris_rock
0,126,192,-6.1764705882352935,debris_rock
0,127,172,-8.137254901960784,mixed_snow_ice
0,128,163,-9.019607843137257,clean_glacier_ice
0,129,160,-9.313725490196079,clean_glacier_ice
0,130,186,-6.764705882352942,mixed_snow_ice
0,131,171,-8.235294117647062,mixed_snow_ice
0,132,207,-4.7058823529411775,debris_rock
0,133,141,-11.176470588235293,clean_glacier_ice
0,134,184,-6.96078431372549,mixed_snow_ice
0,135,185,-6.862745098039216,mixed_snow_ice
0,136,181,-7.254901960784313,mixed_snow_ice
0,137,189,-6.470588235294116,debris_rock
0,138,208,-4.607843137254903,debris_rock
0,139,204,-5.0,debris_rock
0,140,176,-7.745098039215687,mixed_snow_ice
0,141,180,-7.352941176470587,mixed_snow_ice
