statistic,value
min_db,-24.80392156862745
max_db,0.0
mean_db,-9.358612785802682
std_db,4.5354985850744045
mountain_threshold,-20.0
p02,-19.215686274509803
p10,-16.07843137254902
p25,-12.352941176470589
p45,-9.11764705882353
p65,-7.156862745098039
p85,-5.0
corner_mountain_percent,0.0
very_deep_glacier_percent,1.0827147090754379
deep_glacier_percent,9.128253278953084
regular_glacier_percent,15.193216161497608
clean_glacier_percent,20.10504386608374
mixed_snow_percent,20.09037293506646
debris_rock_percent,34.400399049323674
total_glacier_percent,65.59960095067633
