statistic,value
min_db,-24.80392156862745
max_db,0.0
mean_db,-9.259288667635609
std_db,4.750674705644626
mountain_threshold,-20.784313725490197
p02,-19.901960784313726
p10,-16.470588235294116
p25,-12.352941176470589
p45,-8.823529411764707
p65,-6.862745098039216
p85,-4.803921568627452
corner_mountain_percent,0.0
very_deep_glacier_percent,1.0534655789659018
deep_glacier_percent,9.032220200716004
regular_glacier_percent,15.091848113152182
clean_glacier_percent,20.35037267445273
mixed_snow_percent,20.38558600856858
debris_rock_percent,34.08650742414461
total_glacier_percent,65.91349257585539
