statistic,value
min_db,-24.705882352941178
max_db,0.0
mean_db,-9.229236105956806
std_db,4.825200733499829
mountain_threshold,-20.490196078431374
p02,-19.607843137254903
p10,-16.568627450980394
p25,-12.549019607843137
p45,-8.823529411764707
p65,-6.666666666666668
p85,-4.607843137254903
corner_mountain_percent,0.0
very_deep_glacier_percent,1.097450042548197
deep_glacier_percent,8.979136711757974
regular_glacier_percent,15.238123184365737
clean_glacier_percent,20.032864814108393
mixed_snow_percent,20.6901610962763
debris_rock_percent,33.9622641509434
total_glacier_percent,66.0377358490566
