statistic,value
min_db,-24.901960784313726
max_db,0.0
mean_db,-9.25093781644113
std_db,4.521610291599498
mountain_threshold,-19.607843137254903
p02,-18.627450980392158
p10,-15.980392156862745
p25,-12.549019607843137
p45,-9.019607843137257
p65,-6.96078431372549
p85,-4.901960784313726
corner_mountain_percent,0.0
very_deep_glacier_percent,1.012323943661972
deep_glacier_percent,9.102112676056338
regular_glacier_percent,15.01173708920188
clean_glacier_percent,19.909037558685448
mixed_snow_percent,20.839201877934272
debris_rock_percent,34.125586854460096
total_glacier_percent,65.8744131455399
