pixel_x,pixel_y,pixel_value,db_value,surface_type
0,157,183,-7.0588235294117645,debris_rock
0,158,183,-7.0588235294117645,debris_rock
0,159,201,-5.2941176470588225,debris_rock
0,160,181,-7.254901960784313,mixed_snow_ice
0,161,174,-7.9411764705882355,mixed_snow_ice
0,162,167,-8.627450980392158,mixed_snow_ice
0,163,176,-7.745098039215687,mixed_snow_ice
0,164,160,-9.313725490196079,clean_glacier_ice
0,165,172,-8.137254901960784,mixed_snow_ice
0,166,164,-8.92156862745098,mixed_snow_ice
0,167,182,-7.156862745098039,mixed_snow_ice
0,168,178,-7.549019607843139,mixed_snow_ice
0,169,120,-13.23529411764706,regular_glacier_ice
0,170,232,-2.254901960784313,debris_rock
0,171,237,-1.764705882352942,debris_rock
0,172,192,-6.1764705882352935,debris_rock
0,173,193,-6.078431372549019,debris_rock
0,174,187,-6.666666666666668,debris_rock
0,175,121,-13.137254901960786,regular_glacier_ice
0,176,84,-16.764705882352942,deep_glacier_ice
0,177,98,-15.392156862745097,regular_glacier_ice
0,178,113,-13.92156862745098,regular_glacier_ice
0,179,182,-7.156862745098039,mixed_snow_ice
0,180,198,-5.588235294117645,debris_rock
0,181,178,-7.549019607843139,mixed_snow_ice
0,182,154,-9.901960784313726,clean_glacier_ice
0,183,201,-5.2941176470588225,debris_rock
0,184,137,-11.568627450980392,clean_glacier_ice
0,185,136,-11.666666666666666,clean_glacier_ice
0,186,205,-4.901960784313726,debris_rock
0,187,196,-5.784313725490193,debris_rock
0,188,232,-2.254901960784313,debris_rock
0,189,204,-5.0,debris_rock
0,190,201,-5.2941176470588225,debris_rock
0,191,198,-5.588235294117645,debris_rock
0,192,220,-3.4313725490196063,debris_rock
0,193,191,-6.274509803921568,debris_rock
0,194,191,-6.274509803921568,debris_rock
0,195,211,-4.313725490196081,debris_rock
0,196,219,-3.529411764705884,debris_rock
0,197,207,-4.7058823529411775,debris_rock
0,198,235,-1.9607843137254903,debris_rock
0,199,214,-4.019607843137255,debris_rock
0,200,209,-4.509803921568629,debris_rock
0,201,225,-2.9411764705882355,debris_rock
0,202,193,-6.078431372549019,debris_rock
0,203,255,0.0,debris_rock
0,204,250,-0.49019607843137436,debris_rock
0,205,213,-4.117647058823529,debris_rock
0,206,182,-7.156862745098039,mixed_snow_ice
0,207,134,-11.862745098039214,clean_glacier_ice
0,208,179,-7.450980392156865,mixed_snow_ice
0,209,155,-9.803921568627452,clean_glacier_ice
0,210,202,-5.196078431372548,debris_rock
0,211,180,-7.352941176470587,mixed_snow_ice
0,212,208,-4.607843137254903,debris_rock
0,213,215,-3.9215686274509807,debris_rock
0,214,178,-7.549019607843139,mixed_snow_ice
0,215,165,-8.823529411764707,mixed_snow_ice
0,216,153,-10.0,clean_glacier_ice
0,217,175,-7.843137254901961,mixed_snow_ice
0,218,178,-7.549019607843139,mixed_snow_ice
0,219,171,-8.235294117647062,mixed_snow_ice
0,220,142,-11.07843137254902,clean_glacier_ice
0,221,152,-10.098039215686274,clean_glacier_ice
0,222,157,-9.607843137254902,clean_glacier_ice
1,0,157,-9.607843137254902,clean_glacier_ice
1,1,155,-9.803921568627452,clean_glacier_ice
1,2,103,-14.901960784313726,regular_glacier_ice
1,13,165,-8.823529411764707,mixed_snow_ice
1,14,142,-11.07843137254902,clean_glacier_ice
1,15,92,-15.980392156862745,regular_glacier_ice
1,16,104,-14.803921568627452,regular_glacier_ice
1,17,220,-3.4313725490196063,debris_rock
1,18,215,-3.9215686274509807,debris_rock
1,19,188,-6.56862745098039,debris_rock
1,20,183,-7.0588235294117645,debris_rock
1,21,189,-6.470588235294116,debris_rock
1,22,122,-13.03921568627451,regular_glacier_ice
1,24,246,-0.882352941176471,debris_rock
1,25,116,-13.627450980392156,regular_glacier_ice
1,26,129,-12.352941176470589,regular_glacier_ice
1,28,174,-7.9411764705882355,mixed_snow_ice
1,34,149,-10.392156862745097,clean_glacier_ice
1,37,194,-5.980392156862745,debris_rock
1,40,255,0.0,debris_rock
1,41,171,-8.235294117647062,mixed_snow_ice
1,42,174,-7.9411764705882355,mixed_snow_ice
1,43,202,-5.196078431372548,debris_rock
1,44,237,-1.764705882352942,debris_rock
1,45,207,-4.7058823529411775,debris_rock
1,46,200,-5.392156862745097,debris_rock
1,47,230,-2.450980392156861,debris_rock
1,48,154,-9.901960784313726,clean_glacier_ice
1,49,157,-9.607843137254902,clean_glacier_ice
1,50,195,-5.882352941176471,debris_rock
1,51,240,-1.4705882352941195,debris_rock
1,52,255,0.0,debris_rock
1,53,197,-5.686274509803919,debris_rock
1,54,142,-11.07843137254902,clean_glacier_ice
1,55,137,-11.568627450980392,clean_glacier_ice
1,56,146,-10.686274509803923,clean_glacier_ice
1,57,134,-11.862745098039214,clean_glacier_ice
1,58,156,-9.705882352941176,clean_glacier_ice
1,59,152,-10.098039215686274,clean_glacier_ice
1,60,127,-12.549019607843137,regular_glacier_ice
1,61,124,-12.843137254901961,regular_glacier_ice
1,62,188,-6.56862745098039,debris_rock
1,63,252,-0.2941176470588225,debris_rock
