statistic,value
min_db,-24.901960784313726
max_db,0.0
mean_db,-9.011636403387646
std_db,4.3619170263024225
mountain_threshold,-19.019607843137255
p02,-18.137254901960784
p10,-15.294117647058822
p25,-12.254901960784315
p45,-8.92156862745098
p65,-6.862745098039216
p85,-4.7058823529411775
corner_mountain_percent,0.0
very_deep_glacier_percent,1.012323943661972
deep_glacier_percent,8.999413145539906
regular_glacier_percent,15.046948356807514
clean_glacier_percent,20.34037558685446
mixed_snow_percent,19.75352112676056
debris_rock_percent,34.84741784037559
total_glacier_percent,65.15258215962442
