statistic,value
min_db,-24.901960784313726
max_db,0.0
mean_db,-9.091763969243006
std_db,4.3447512590819715
mountain_threshold,-19.215686274509803
p02,-18.098039215686278
p10,-15.294117647058822
p25,-12.254901960784315
p45,-9.019607843137257
p65,-6.96078431372549
p85,-4.803921568627452
corner_mountain_percent,0.0
very_deep_glacier_percent,1.0125913533503565
deep_glacier_percent,9.078101611341022
regular_glacier_percent,15.329752575504093
clean_glacier_percent,19.79395967244871
mixed_snow_percent,19.993542895717766
debris_rock_percent,34.792051891638046
total_glacier_percent,65.20794810836195
