statistic,value
min_db,-24.80392156862745
max_db,0.0
mean_db,-9.27442983765698
std_db,4.673730020929832
mountain_threshold,-20.098039215686274
p02,-19.313725490196077
p10,-16.372549019607845
p25,-12.450980392156863
p45,-8.92156862745098
p65,-6.862745098039216
p85,-4.803921568627452
corner_mountain_percent,0.0
very_deep_glacier_percent,1.0797171610480298
deep_glacier_percent,9.063169321949358
regular_glacier_percent,15.230466801631312
clean_glacier_percent,20.17428043306047
mixed_snow_percent,20.364991344658627
debris_rock_percent,34.08737493765221
total_glacier_percent,65.9126250623478
