statistic,value
min_db,-24.80392156862745
max_db,0.0
mean_db,-8.74712897691729
std_db,4.161046152105459
mountain_threshold,-18.52941176470588
p02,-17.647058823529413
p10,-14.705882352941178
p25,-11.666666666666666
p45,-8.725490196078432
p65,-6.764705882352942
p85,-4.7058823529411775
corner_mountain_percent,0.0
very_deep_glacier_percent,1.065422206568636
deep_glacier_percent,9.06049132693493
regular_glacier_percent,14.948196413372075
clean_glacier_percent,19.972997563910656
mixed_snow_percent,20.45728038507822
debris_rock_percent,34.49561210413548
total_glacier_percent,65.50438789586451
