statistic,value
min_db,-24.80392156862745
max_db,0.0
mean_db,-9.379798649529086
std_db,4.673366488187101
mountain_threshold,-19.80392156862745
p02,-19.019607843137255
p10,-16.372549019607845
p25,-12.745098039215687
p45,-9.11764705882353
p65,-6.96078431372549
p85,-4.803921568627452
corner_mountain_percent,0.0
very_deep_glacier_percent,1.0625807209111189
deep_glacier_percent,9.216860396853352
regular_glacier_percent,14.990607021251614
clean_glacier_percent,19.89256780556534
mixed_snow_percent,20.508982035928145
debris_rock_percent,34.328402019490426
total_glacier_percent,65.67159798050956
